iter	Passed	Remaining
647	3152	223
648	3157	218
649	3162	214
650	3166	209
651	3171	204
652	3176	199
653	3180	194
654	3185	189
655	3189	184
656	3194	179
657	3199	175
658	3203	170
659	3208	165
660	3213	160
661	3218	155
662	3222	150
663	3228	145
664	3233	141
665	3239	136
666	3244	131
667	3250	126
668	3255	121
669	3260	116
670	3264	111
671	3270	107
672	3275	102
673	3280	97
674	3284	92
675	3289	87
676	3294	82
677	3299	77
678	3304	73
679	3309	68
680	3314	63
681	3319	58
682	3324	53
683	3329	48
684	3333	43
685	3338	38
686	3343	34
687	3348	29
688	3353	24
689	3357	19
690	3362	14
691	3366	9
692	3371	4
693	3376	0
